,area_metro_quadrado_int,quartos_int,banheiros_int,vagas_int,preco_anuncio_float
3410,400,3,4,3,3500000.0
3411,400,4,4,4,2500000.0
3412,150,3,4,2,1000000.0
3413,1643,4,6,10,3800000.0
3414,876,4,8,6,17500000.0
3415,480,5,7,4,2700000.0
3416,142,3,3,4,1400000.0
3417,722,4,5,8,6200000.0
3418,350,4,3,4,2600000.0
3420,837,4,4,10,10000000.0
3421,300,3,6,3,2350000.0
3422,120,3,3,3,320000.0
3423,85,2,2,2,545000.0
3424,128,3,2,2,690000.0
3425,470,4,7,6,8000000.0
3426,850,4,8,10,8500000.0
3427,1643,4,4,5,3800000.0
3428,700,4,4,8,4300000.0
3429,200,3,2,2,2450000.0
3432,300,4,5,2,3900000.0
3433,390,4,4,4,5500000.0
3434,90,2,2,1,532000.0
3435,210,3,4,8,1490000.0
3436,369,4,5,3,2800000.0
3437,315,4,6,4,2350000.0
3439,500,5,6,5,3500000.0
3440,550,4,5,8,8500000.0
3441,551,4,4,3,15000000.0
3442,271,4,3,4,1950000.0
3443,450,4,5,6,4850000.0
3444,220,2,3,1,790000.0
3445,230,4,4,5,1330000.0
3446,310,3,2,3,690000.0
3447,640,3,8,6,3900000.0
3448,200,3,2,3,1800000.0
